MSA,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Clarksville--Hopkinsville, TN--KY MSA",207033,213724.6,220416.2,227107.8,233799.4,240491,247182.6,253874.2,260565.8,267257.4,273949,164.2,160.48,156.76,153.04,149.32,145.6,141.88,138.16,134.44,130.72,127
"Cleveland--Akron, OH CMSA",2945831,2651247.9,2356664.8,2062081.7,1767498.6,1472915.5,1178332.4,883749.3,589166.2,294583.1,,815.6,734.04,652.48,570.92,489.36,407.8,326.24,244.68,163.12,81.56,
"Cleveland--Lorain--Elyria, OH PMSA",2250871,2233507.9,2216144.8,2198781.7,2181418.6,2164055.5,2146692.4,2129329.3,2111966.2,2094603.1,2077240,831.5,852.35,873.2,894.05,914.9,935.75,956.6,977.45,998.3,1019.15,1040
"Colorado Springs, CO MSA",516929,529797.4,542665.8,555534.2,568402.6,581271,594139.4,607007.8,619876.2,632744.6,645613,243.1,242.85,242.6,242.35,242.1,241.85,241.6,241.35,241.1,240.85,240.6
"Columbia, MO MSA",135454,139187.2,142920.4,146653.6,150386.8,154120,157853.2,161586.4,165319.6,169052.8,172786,197.6,192.87,188.14,183.41,178.68,173.95,169.22,164.49,159.76,155.03,150.3
"Columbia, SC MSA",536691,559781.7,582872.4,605963.1,629053.8,652144.5,675235.2,698325.9,721416.6,744507.3,767598,368.7,352.56,336.42,320.28,304.14,288,271.86,255.72,239.58,223.44,207.3
"Columbus, GA--AL MSA",274624,276648.1,278672.2,280696.3,282720.4,284744.5,286768.6,288792.7,290816.8,292840.9,294865,174.9,172.64,170.38,168.12,165.86,163.6,161.34,159.08,156.82,154.56,152.3
"Columbus, OH MSA",1540157,1569794.9,1599432.8,1629070.7,1658708.6,1688346.5,1717984.4,1747622.3,1777260.2,1806898.1,1836536,490.3,487.56,484.82,482.08,479.34,476.6,473.86,471.12,468.38,465.64,462.9
"Corpus Christi, TX MSA",380783,385523.2,390263.4,395003.6,399743.8,404484,409224.2,413964.4,418704.6,423444.8,428185,249.3,248.37,247.44,246.51,245.58,244.65,243.72,242.79,241.86,240.93,240
"Corvallis, OR MSA",78153,78895.6,79638.2,80380.8,81123.4,81866,82608.6,83351.2,84093.8,84836.4,85579,115.5,116.61,117.72,118.83,119.94,121.05,122.16,123.27,124.38,125.49,126.6
"Cumberland, MD--WV MSA",102008,102137.1,102266.2,102395.3,102524.4,102653.5,102782.6,102911.7,103040.8,103169.9,103299,135.4,135.6,135.8,136,136.2,136.4,136.6,136.8,137,137.2,137.4
"Dallas, TX PMSA",3519176,3167258.4,2815340.8,2463423.2,2111505.6,1759588,1407670.4,1055752.8,703835.2,351917.6,,568.9,512.01,455.12,398.23,341.34,284.45,227.56,170.67,113.78,56.89,
"Dallas--Fort Worth, TX CMSA",5221801,5336798.2,5451795.4,5566792.6,5681789.8,5796787,5911784.2,6026781.4,6141778.6,6256775.8,6371773,573.6,587.61,601.62,615.63,629.64,643.65,657.66,671.67,685.68,699.69,713.7
"Danbury, CT PMSA",217980,196182,174384,152586,130788,108990,87192,65394,43596,21798,,563.4,507.06,450.72,394.38,338.04,281.7,225.36,169.02,112.68,56.34,
"Danville, VA MSA",110156,109796.5,109437,109077.5,108718,108358.5,107999,107639.5,107280,106920.5,106561,108.7,108.36,108.02,107.68,107.34,107,106.66,106.32,105.98,105.64,105.3
"Davenport--Moline--Rock Island, IA--IL MSA",359062,361124.8,363187.6,365250.4,367313.2,369376,371438.8,373501.6,375564.4,377627.2,379690,210.2,205.91,201.62,197.33,193.04,188.75,184.46,180.17,175.88,171.59,167.3
"Daytona Beach, FL MSA",493175,493316.8,493458.6,493600.4,493742.2,493884,494025.8,494167.6,494309.4,494451.2,494593,310.5,324.37,338.24,352.11,365.98,379.85,393.72,407.59,421.46,435.33,449.2
"Dayton--Springfield, OH MSA",950558,855502.2,760446.4,665390.6,570334.8,475279,380223.2,285167.4,190111.6,95055.8,,564.6,508.14,451.68,395.22,338.76,282.3,225.84,169.38,112.92,56.46,
"Decatur, AL MSA",145867,146663.2,147459.4,148255.6,149051.8,149848,150644.2,151440.4,152236.6,153032.8,153829,114.4,115.07,115.74,116.41,117.08,117.75,118.42,119.09,119.76,120.43,121.1
"Decatur, IL MSA",114706,114312.2,113918.4,113524.6,113130.8,112737,112343.2,111949.4,111555.6,111161.8,110768,197.6,196.92,196.24,195.56,194.88,194.2,193.52,192.84,192.16,191.48,190.8
"Denver, CO PMSA",2109282,2152702,2196122,2239542,2282962,2326382,2369802,2413222,2456642,2500062,2543482,560.9,535.29,509.68,484.07,458.46,432.85,407.24,381.63,356.02,330.41,304.8
"Denver--Boulder--Greeley, CO CMSA",2581506,2323355.4,2065204.8,1807054.2,1548903.6,1290753,1032602.4,774451.8,516301.2,258150.6,,303.9,273.51,243.12,212.73,182.34,151.95,121.56,91.17,60.78,30.39,
"Des Moines, IA MSA",456022,467383.1,478744.2,490105.3,501466.4,512827.5,524188.6,535549.7,546910.8,558271.9,569633,264,257.35,250.7,244.05,237.4,230.75,224.1,217.45,210.8,204.15,197.5
"Detroit, MI PMSA",4441551,4427020.9,4412490.8,4397960.7,4383430.6,4368900.5,4354370.4,4339840.3,4325310.2,4310780.1,4296250,1139.8,1136.31,1132.82,1129.33,1125.84,1122.35,1118.86,1115.37,1111.88,1108.39,1104.9
"Detroit--Ann Arbor--Flint, MI CMSA",5456428,4910785.2,4365142.4,3819499.6,3273856.8,2728214,2182571.2,1636928.4,1091285.6,545642.8,,831.1,747.99,664.88,581.77,498.66,415.55,332.44,249.33,166.22,83.11,
"Dothan, AL MSA",137916,138688.3,139460.6,140232.9,141005.2,141777.5,142549.8,143322.1,144094.4,144866.7,145639,120.8,117.21,113.62,110.03,106.44,102.85,99.26,95.67,92.08,88.49,84.9
"Dover, DE MSA",126697,130258.3,133819.6,137380.9,140942.2,144503.5,148064.8,151626.1,155187.4,158748.7,162310,214.8,221.01,227.22,233.43,239.64,245.85,252.06,258.27,264.48,270.69,276.9
"Dubuque, IA MSA",89143,89594,90045,90496,90947,91398,91849,92300,92751,93202,93653,146.6,147.34,148.08,148.82,149.56,150.3,151.04,151.78,152.52,153.26,154
"Duluth--Superior, MN--WI MSA",243815,247410.6,251006.2,254601.8,258197.4,261793,265388.6,268984.2,272579.8,276175.4,279771,32.4,32.49,32.58,32.67,32.76,32.85,32.94,33.03,33.12,33.21,33.3
"Dutchess County, NY PMSA",280150,252135,224120,196105,168090,140075,112060,84045,56030,28015,,349.5,314.55,279.6,244.65,209.7,174.75,139.8,104.85,69.9,34.95,
"Eau Claire, WI MSA",148337,149618.4,150899.8,152181.2,153462.6,154744,156025.4,157306.8,158588.2,159869.6,161151,90,90.79,91.58,92.37,93.16,93.95,94.74,95.53,96.32,97.11,97.9
"El Paso, TX MSA",679622,691724.5,703827,715929.5,728032,740134.5,752237,764339.5,776442,788544.5,800647,670.8,682.78,694.76,706.74,718.72,730.7,742.68,754.66,766.64,778.62,790.6
"Elkhart--Goshen, IN MSA",182791,184267.8,185744.6,187221.4,188698.2,190175,191651.8,193128.6,194605.4,196082.2,197559,394.1,397.34,400.58,403.82,407.06,410.3,413.54,416.78,420.02,423.26,426.5
"Elmira, NY MSA",91070,90846,90622,90398,90174,89950,89726,89502,89278,89054,88830,223.1,222.6,222.1,221.6,221.1,220.6,220.1,219.6,219.1,218.6,218.1
"Enid, OK MSA",57813,52031.7,46250.4,40469.1,34687.8,28906.5,23125.2,17343.9,11562.6,5781.3,,54.6,49.14,43.68,38.22,32.76,27.3,21.84,16.38,10.92,5.46,
"Erie, PA MSA",280843,280815.3,280787.6,280759.9,280732.2,280704.5,280676.8,280649.1,280621.4,280593.7,280566,350.2,350.29,350.38,350.47,350.56,350.65,350.74,350.83,350.92,351.01,351.1
"Eugene--Springfield, OR MSA",322959,325834.6,328710.2,331585.8,334461.4,337337,340212.6,343088.2,345963.8,348839.4,351715,70.9,71.53,72.16,72.79,73.42,74.05,74.68,75.31,75.94,76.57,77.2
"Evansville--Henderson, IN--KY MSA",296195,302443.1,308691.2,314939.3,321187.4,327435.5,333683.6,339931.7,346179.8,352427.9,358676,201.9,197.41,192.92,188.43,183.94,179.45,174.96,170.47,165.98,161.49,157
"Fargo--Moorhead, ND--MN MSA",174367,177808,181249,184690,188131,191572,195013,198454,201895,205336,208777,62,63.23,64.46,65.69,66.92,68.15,69.38,70.61,71.84,73.07,74.3
"Fayetteville, NC MSA",302963,309305,315647,321989,328331,334673,341015,347357,353699,360041,366383,464.2,452.91,441.62,430.33,419.04,407.75,396.46,385.17,373.88,362.59,351.3
