Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
3800000US2900,2900.0,"United States - In metropolitan statistical area - Gainesville, FL MSA","Gainesville, FL MSA",217955.0,95113.0,969.12,94.88,874.25,249.3,108.8,310M100US23540,23540.0,"United States - In metropolitan statistical area - Gainesville, FL MSA",264275.0,120073.0,1324.05,99.35,1224.7,215.8,98.0
3800000US2975,2975.0,"United States - In metropolitan statistical area - Glens Falls, NY MSA","Glens Falls, NY MSA",124345.0,61646.0,1777.5,72.77,1704.73,72.9,36.2,310M100US24020,24020.0,"United States - In metropolitan statistical area - Glens Falls, NY MSA",128923.0,67570.0,1777.49,79.36,1698.14,75.9,39.8
3800000US2980,2980.0,"United States - In metropolitan statistical area - Goldsboro, NC MSA","Goldsboro, NC MSA",113329.0,47313.0,556.69,4.12,552.57,205.1,85.6,310M100US24140,24140.0,"United States - In metropolitan statistical area - Goldsboro, NC MSA",122623.0,52949.0,556.85,3.77,553.09,221.7,95.7
3800000US2985,2985.0,"United States - In metropolitan statistical area - Grand Forks, ND-MN MSA","Grand Forks, ND-MN MSA",97478.0,41381.0,3437.64,29.46,3408.18,28.6,12.1,310M100US24220,24220.0,"United States - In metropolitan statistical area - Grand Forks, ND-MN MSA",98461.0,43954.0,3437.29,29.78,3407.5,28.9,12.9
3800000US2995,2995.0,"United States - In metropolitan statistical area - Grand Junction, CO MSA","Grand Junction, CO MSA",116255.0,48427.0,3341.11,13.36,3327.75,34.9,14.6,310M100US24300,24300.0,"United States - In metropolitan statistical area - Grand Junction, CO MSA",146723.0,62644.0,3341.12,12.15,3328.97,44.1,18.8
3800000US3000,3000.0,"United States - In metropolitan statistical area - Grand Rapids-Muskegon-Holland, MI MSA","Grand Rapids-Muskegon-Holland, MI MSA",1088514.0,422704.0,5796.75,3038.34,2758.41,394.6,153.2,,,,,,,,,,
3800000US3040,3040.0,"United States - In metropolitan statistical area - Great Falls, MT MSA","Great Falls, MT MSA",80357.0,35225.0,2711.65,13.75,2697.9,29.8,13.1,310M100US24500,24500.0,"United States - In metropolitan statistical area - Great Falls, MT MSA",81327.0,37276.0,2711.48,13.33,2698.16,30.1,13.8
3800000US3080,3080.0,"United States - In metropolitan statistical area - Green Bay, WI MSA","Green Bay, WI MSA",226778.0,90199.0,615.42,86.75,528.68,429.0,170.6,310M100US24580,24580.0,"United States - In metropolitan statistical area - Green Bay, WI MSA",306241.0,137212.0,2848.8,978.59,1870.21,163.7,73.4
3800000US3120,3120.0,"United States - In metropolitan statistical area - Greensboro-Winston-Salem-High Point, NC MSA","Greensboro-Winston-Salem-High Point, NC MSA",1251509.0,535837.0,3922.35,41.26,3881.09,322.5,138.1,,,,,,,,,,
3800000US3150,3150.0,"United States - In metropolitan statistical area - Greenville, NC MSA","Greenville, NC MSA",133798.0,58408.0,654.77,3.19,651.58,205.3,89.6,310M100US24780,24780.0,"United States - In metropolitan statistical area - Greenville, NC MSA",189510.0,83203.0,921.22,3.32,917.9,206.5,90.6
3800000US3160,3160.0,"United States - In metropolitan statistical area - Greenville-Spartanburg-Anderson, SC MSA","Greenville-Spartanburg-Anderson, SC MSA",962441.0,411402.0,3280.69,72.08,3208.61,300.0,128.2,,,,,,,,,,
3800000US3240,3240.0,"United States - In metropolitan statistical area - Harrisburg-Lebanon-Carlisle, PA MSA","Harrisburg-Lebanon-Carlisle, PA MSA",629401.0,266345.0,2027.04,36.21,1990.83,316.2,133.8,,,,,,,,,,
3800000US3280,3280.0,"United States - In metropolitan statistical area - Hartford, CT MSA","Hartford, CT MSA",1183110.0,482572.0,1716.4,39.21,1677.19,705.4,287.7,,,,,,,,,,
3800000US3285,3285.0,"United States - In metropolitan statistical area - Hattiesburg, MS MSA","Hattiesburg, MS MSA",111674.0,45346.0,970.66,7.01,963.64,115.9,47.1,310M100US25620,25620.0,"United States - In metropolitan statistical area - Hattiesburg, MS MSA",142842.0,61878.0,1620.87,10.25,1610.62,88.7,38.4
3800000US3290,3290.0,"United States - In metropolitan statistical area - Hickory-Morganton-Lenoir, NC MSA","Hickory-Morganton-Lenoir, NC MSA",341851.0,144874.0,1665.83,27.36,1638.48,208.6,88.4,,,,,,,,,,
3800000US3320,3320.0,"United States - In metropolitan statistical area - Honolulu, HI MSA","Honolulu, HI MSA",876156.0,315988.0,2126.85,1527.08,599.77,1460.8,526.9,310M100US26180,26180.0,"United States - In metropolitan statistical area - Honolulu, HI MSA",953207.0,336899.0,2128.07,1527.33,600.74,1586.7,560.8
3800000US3350,3350.0,"United States - In metropolitan statistical area - Houma, LA MSA","Houma, LA MSA",194477.0,74973.0,3552.09,1212.48,2339.61,83.1,32.0,,,,,,,,,,
3800000US3362,3362.0,"United States - In metropolitan statistical area - Houston-Galveston-Brazoria, TX MSA","Houston-Galveston-Brazoria, TX MSA",4669571.0,1777902.0,8777.63,1072.64,7704.99,606.0,230.7,,,,,,,,,,
3850000US33621145,33621145.0,"United States - In metropolitan statistical area - Houston-Galveston-Brazoria, TX MSA - Brazoria, TX MSA","Brazoria, TX MSA",241767.0,90628.0,1597.44,211.04,1386.4,174.4,65.4,,,,,,,,,,
3850000US33622920,33622920.0,"United States - In metropolitan statistical area - Houston-Galveston-Brazoria, TX MSA - Galveston-Texas City, TX MSA","Galveston-Texas City, TX MSA",250158.0,111733.0,872.93,474.46,398.47,627.8,280.4,,,,,,,,,,
3850000US33623360,33623360.0,"United States - In metropolitan statistical area - Houston-Galveston-Brazoria, TX MSA - Houston, TX MSA","Houston, TX MSA",4177646.0,1575541.0,6307.26,387.15,5920.11,705.7,266.1,,,,,,,,,,
3800000US3400,3400.0,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA","Huntington-Ashland, WV-KY-OH MSA",315538.0,141398.0,2185.97,26.75,2159.22,146.1,65.5,310M100US26580,26580.0,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA",287702.0,131132.0,1773.87,29.24,1744.63,164.9,75.2
3800000US3440,3440.0,"United States - In metropolitan statistical area - Huntsville, AL MSA","Huntsville, AL MSA",342376.0,147185.0,1419.93,46.96,1372.97,249.4,107.2,310M100US26620,26620.0,"United States - In metropolitan statistical area - Huntsville, AL MSA",417593.0,181424.0,1419.89,58.36,1361.53,306.7,133.3
3800000US3480,3480.0,"United States - In metropolitan statistical area - Indianapolis, IN MSA","Indianapolis, IN MSA",1607486.0,681144.0,3541.62,18.62,3522.99,456.3,193.3,,,,,,,,,,
3800000US3500,3500.0,"United States - In metropolitan statistical area - Iowa City, IA MSA","Iowa City, IA MSA",111006.0,45831.0,623.35,8.87,614.48,180.7,74.6,310M100US26980,26980.0,"United States - In metropolitan statistical area - Iowa City, IA MSA",152586.0,65483.0,1194.07,11.19,1182.87,129.0,55.4
3800000US3520,3520.0,"United States - In metropolitan statistical area - Jackson, MI MSA","Jackson, MI MSA",158422.0,62906.0,723.76,17.17,706.6,224.2,89.0,310M100US27100,27100.0,"United States - In metropolitan statistical area - Jackson, MI MSA",160248.0,69458.0,723.5,21.83,701.67,228.4,99.0
3800000US3560,3560.0,"United States - In metropolitan statistical area - Jackson, MS MSA","Jackson, MS MSA",440801.0,174138.0,2425.4,64.59,2360.81,186.7,73.8,310M100US27140,27140.0,"United States - In metropolitan statistical area - Jackson, MS MSA",539057.0,222584.0,3795.09,68.95,3726.14,144.7,59.7
3800000US3580,3580.0,"United States - In metropolitan statistical area - Jackson, TN MSA","Jackson, TN MSA",107377.0,44383.0,847.37,1.86,845.52,127.0,52.5,310M100US27180,27180.0,"United States - In metropolitan statistical area - Jackson, TN MSA",115425.0,48857.0,844.58,1.73,842.85,136.9,58.0
3800000US3600,3600.0,"United States - In metropolitan statistical area - Jacksonville, FL MSA","Jacksonville, FL MSA",1100491.0,467451.0,3109.22,473.88,2635.34,417.6,177.4,310M100US27260,27260.0,"United States - In metropolitan statistical area - Jacksonville, FL MSA",1345596.0,598490.0,3698.42,497.34,3201.08,420.4,187.0
3800000US3605,3605.0,"United States - In metropolitan statistical area - Jacksonville, NC MSA","Jacksonville, NC MSA",150355.0,55726.0,908.56,141.74,766.82,196.1,72.7,310M100US27340,27340.0,"United States - In metropolitan statistical area - Jacksonville, NC MSA",177772.0,68226.0,905.91,143.17,762.74,233.1,89.4
3800000US3610,3610.0,"United States - In metropolitan statistical area - Jamestown, NY MSA","Jamestown, NY MSA",139750.0,64900.0,1500.02,437.97,1062.05,131.6,61.1,,,,,,,,,,
3800000US3620,3620.0,"United States - In metropolitan statistical area - Janesville-Beloit, WI MSA","Janesville-Beloit, WI MSA",152307.0,62187.0,726.2,5.73,720.47,211.4,86.3,,,,,,,,,,
3800000US3660,3660.0,"United States - In metropolitan statistical area - Johnson City-Kingsport-Bristol, TN-VA MSA","Johnson City-Kingsport-Bristol, TN-VA MSA",480091.0,218190.0,2911.0,45.49,2865.51,167.5,76.1,,,,,,,,,,
3800000US3680,3680.0,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621.0,102959.0,1774.6,11.92,1762.68,132.0,58.4,310M100US27780,27780.0,"United States - In metropolitan statistical area - Johnstown, PA MSA",143679.0,65650.0,693.63,5.28,688.35,208.7,95.4
3800000US3700,3700.0,"United States - In metropolitan statistical area - Jonesboro, AR MSA","Jonesboro, AR MSA",82148.0,35133.0,712.98,2.14,710.84,115.6,49.4,310M100US27860,27860.0,"United States - In metropolitan statistical area - Jonesboro, AR MSA",121026.0,51438.0,1476.28,10.69,1465.6,82.6,35.1
3800000US3710,3710.0,"United States - In metropolitan statistical area - Joplin, MO MSA","Joplin, MO MSA",157322.0,67468.0,1267.98,1.83,1266.15,124.3,53.3,310M100US27900,27900.0,"United States - In metropolitan statistical area - Joplin, MO MSA",175518.0,74981.0,1267.87,4.61,1263.25,138.9,59.4
3800000US3720,3720.0,"United States - In metropolitan statistical area - Kalamazoo-Battle Creek, MI MSA","Kalamazoo-Battle Creek, MI MSA",452851.0,191916.0,2388.81,507.37,1881.44,240.7,102.0,,,,,,,,,,
